Wed Mar 11 18:53:10 CET 2009	Unknown column 'titel' in 'where clause'	 in class bibliotheksverwaltung.util.MySQLSuche
Thu Mar 12 13:01:32 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:03:53 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:09:12 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:10:36 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:10:56 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:12:51 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:18:05 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
Thu Mar 12 13:18:46 CET 2009	Cannot add or update a child row: a foreign key constraint fails (`bibliotheksverwaltung/exemplar`, CONSTRAINT `FK_LEIHT_AUS` FOREIGN KEY (`AUSLEIHERID`) REFERENCES `ausleiher` (`AUSLEIHERID`))	 in class bibliotheksverwaltung.model.daos.dao.MySQLExemplarDAO
